Tool,Sex,Name,displayName,displayValue,order,variableUse,Recommended,variableType,usageType,Units,Mean,betacoefficent,ValidCat (for _xc),PctlLow,PctlUpp,UserMin,UserMax,LowValue,HighValue,OutlierTreatmentMethod,InvalidValueTreatment,MissingValueReplacement,MissingValueTreatment,Recommended,SmokingReference
MPoRT,Female,EduHSGrad_cat,High school ,High school graduate- Dummy variable,11,Input,,categorical,active,NA,0.26,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,EduHSGrad_cat,High school,High school graduate- Dummy variable,11,Input,,categorical,active,NA,0.26,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,EduNoGrad_cat,<High school,Less than high school education- Dummy variable,12,Input,,categorical,active,NA,0.19,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,EduNoGrad_cat,<High school,Less than high school education- Dummy variable,12,Input,,categorical,active,NA,0.18,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,EduPSGrad,Post-secondary ,Post-secondary school graduate,10,Reference,,categorical,supplementary,NA,0.55,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,EduPSGrad,Post-secondary ,Post-secondary school graduate,10,Reference,,categorical,supplementary,NA,0.58,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,HeartDis_cat,Heart disease,Has heart disease- Dummy variable,25,Input,MPoRT,categorical,active,NA,0.07,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Male,HeartDis_cat,Heart disease,Has heart disease- Dummy variable,25,Input,MPoRT,categorical,active,NA,0.09,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Female,HeartDisNo,No heart disease,Does not have heart disease,26,Reference,,categorical,supplementary,NA,0.93,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,HeartDisNo,No heart disease,Does not have heart disease,26,Reference,,categorical,supplementary,NA,0.91,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,Immig0to15_cat,Immigrate <15y,Immigrated <15 years- Dummy variable,19,Input,,categorical,active,NA,0.05,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,Immig0to15_cat,Immigrate <15y,Immigranted <15 years- Dummy variable,19,Input,,categorical,active,NA,0.05,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,Immig16to30_cat,Immigrate 15-30y,Immigrated 16 to 30 years- Dummy variable,18,Input,,categorical,active,NA,0.04,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,Immig16to30_cat,Immigrate 15-30y,Immigranted 16 to 30 years- Dummy variable,18,Input,,categorical,active,NA,0.04,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,Immig31to45_cat,Immigrate 31-45y,Immigrated 31 to 45 years- Dummy variable,17,Input,,categorical,active,NA,0.05,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,Immig31to45_cat,Immigrate 31-45y,Immigranted 31 to 45 years- Dummy variable,17,Input,,categorical,active,NA,0.06,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,ImEthNon,Non/late-immigrant,Non-immigrant or >45 years in Canada,16,Reference,,categorical,supplementary,NA,0.85,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,ImEthNon,Non/late-immigrant,Non-immigrant or >45 years in Canada,16,Reference,,categorical,supplementary,NA,0.85,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,QSHeavyCont_df,Heavy smoker,Time-varying function for current heavy and former heavy smoker,,Input,,continuous,active,NA,NA,,NA,0,1,0,1,,,,returnInvalid,,,,
MPoRT,Male,QSHeavyCont_df,Heavy smoker,Time-varying function for current heavy and former heavy smoker,,Input,,continuous,active,NA,NA,,NA,0,1,0,1,,,,returnInvalid,,,,
MPoRT,Female,QSLightCont_df,Light smoker,Time-varying function for current light and former light smoker,,Input,,continuous,active,NA,NA,,NA,0,1,0,1,,,,returnInvalid,,,,
MPoRT,Male,QSLightCont_df,Light smoker,Time-varying function for current light and former light smoker,,Input,,continuous,active,NA,NA,,NA,0,1,0,1,,,,returnInvalid,,,,
MPoRT,Female,Stroke_cat,Stroke,Suffers from effects of a previous stroke- Dummy variable,,Input,,categorical,active,NA,0.01,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Male,Stroke_cat,Stroke,Suffers from effects of a previous stroke- Dummy variable,,Input,,categorical,active,NA,0.02,,"[1,0]",NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Female,StrokeNo ,No stroke,Does not suffer from a previous stroke,,Reference,,categorical,supplementary,NA,0.99,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Male,StrokeNo ,No stroke,Does not suffer from a previous stroke,,Reference,,categorical,supplementary,NA,0.98,,NA,NA,NA,NA,NA,,,,returnInvalid,,,,
MPoRT,Female,SmokeType,Smoking Status,Type of smoker,,Input,MPoRT,categorical,active,NA,NA,,[0:4],NA,NA,0,NA,,,,returnInvalid,,,Yes,
MPoRT,Male,SmokeType,Smoking Status,Type of smoker,,Input,MPoRT,categorical,active,NA,NA,,[0:4],NA,NA,0,NA,,,,returnInvalid,,,Yes,
MPoRT,Female,QuitTime,Smoking Quit Time,"Time since quitting smoking. For current and non-smokers, leave missing",,Input,MPoRT,continuous,active,years,NA,,NA,NA,NA,0,Age_cont - 5,,,,returnInvalid,,,Yes,
MPoRT,Male,QuitTime,Smoking Quit Time,"Time since quitting smoking. For current and non-smokers, leave missing",,Input,MPoRT,continuous,active,years,NA,,NA,NA,NA,0,Age_cont - 5,,,,returnInvalid,,,Yes,
MPoRT,Female,AlcoholType,Alcohol Status,Type of drinker,,Input,MPoRT,categorical,active,NA,NA,,[0:2],NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Male,AlcoholType,Alcohol Status,Type of drinker,,Input,MPoRT,categorical,active,NA,NA,,[0:2],NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Female,DepInd,Deprivation Level,Neighbourhood deprivation level,,Input,MPoRT,categorical,active,NA,NA,,[0:2],NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Male,DepInd,Deprivation Level,Neighbourhood deprivation level,,Input,MPoRT,categorical,active,NA,NA,,[0:2],NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Female,Edu,Education Level,Highest level of education received,,Input,MPoRT,categorical,active,NA,NA,,[0:2],NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Male,Edu,Education Level,Highest level of education received,,Input,MPoRT,categorical,active,NA,NA,,[0:2],NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Female,ImEth,Immigrant Status,Immigrant status,,Input,MPoRT,categorical,active,NA,NA,,[0:3],NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Male,ImEth,Immigrant Status,Immigrant status,,Input,MPoRT,categorical,active,NA,NA,,[0:3],NA,NA,NA,NA,,,,returnInvalid,,,Yes,
MPoRT,Female,PhysicalActivity,Activity,Average daily leisure time energy expenditure in METs,,Input,MPoRT,continuous,active,METs/day,NA,,NA,NA,NA,0,10,,,,returnInvalid,,,Yes,
MPoRT,Male,PhysicalActivity,Activity,Average daily leisure time energy expenditure in METs,,Input,MPoRT,continuous,active,METs/day,NA,,NA,NA,NA,0,10,,,,returnInvalid,,,Yes,
MPoRT,Female,PhysicalActivity_cont,Activity,Average daily leisure time energy expenditure in METs- log transformed,9,Input,,continuous,active,log(METs/day),0.38,,NA,0,0.9,0,2,,,,returnInvalid,,,,
MPoRT,Male,PhysicalActivity_cont,Activity,Average daily leisure time energy expenditure in METs- log transformed,9,Input,,continuous,active,log(METs/day),0.42,,NA,0,0.96,0,2,,,,returnInvalid,,,,
MPoRT,Female,CancerAge_Int,Cancer Age Int,Cancer interaction with continuous age,27,Input,,continuous,active,NA,NA,,NA,NA,NA,0,79,,,,,,,,
MPoRT,Male,CancerAge_Int,Cancer Age Int,Cancer interaction with continuous age,27,Input,,continuous,active,NA,NA,,NA,NA,NA,0,79,,,,,,,,
MPoRT,Female,DiabetesAge_Int,Diabetes Age Int,Diabetes interaction with continuous age,28,Input,,continuous,active,NA,NA,,NA,NA,NA,0,79,,,,,,,,
MPoRT,Male,DiabetesAge_Int,Diabetes Age Int,Diabetes interaction with continuous age,28,Input,,continuous,active,NA,NA,,NA,NA,NA,0,79,,,,,,,,
DemPoRT,Female,Smoke4_cat,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,Smoke4_cat,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Female,Packyears_cont,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,Packyears_cont,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Female,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Female,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Female,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Female,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Female,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Female,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Female,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Female,,,,,,,,,,,,,,,,,,,,,,,,
DemPoRT,Male,,,,,,,,,,,,,,,,,,,,,,,,
HRUPoRT,Neutral ,BMI7_cat,BMI,Body Mass Index,,Input,HRUPoRT,categorical,supplementary,kg/m2,NA,NA,,,,W=1,W=575,,,,,,,,
HRUPoRT,Neutral ,BMINormal,Normal,Normal BMI ,,Reference,,categorical,supplementary,kg/m3,0.444,REF,,,,H=1'0,H=8'2,,,,,,,,
HRUPoRT,Neutral ,BMIUnderweight_cat,Underweight,Underweight BMI - Dummy Variable,,Input,,categorical,active,kg/m4,0.026,0.0174,,,,,,,,,,,,,
HRUPoRT,Neutral ,BMIOverweight_cat,Overweight,Overweight BMI - Dummy Variable,,Input,,categorical,active,kg/m5,0.332,0.0753,,,,,,,,,,,,,
HRUPoRT,Neutral ,BMIModerately_cat,Moderately Obese,Moderately Obese BMI - Dummy Variable,,Input,,categorical,active,kg/m6,0.113,0.1131,,,,,,,,,,,,,
HRUPoRT,Neutral ,BMIVery_cat,Very Obese,Very Obese BMI - Dummy Variable,,Input,,categorical,active,kg/m7,0.030,0.3624,,,,,,,,,,,,,
HRUPoRT,Neutral ,BMISeverely_cat,Severely Obese,Severely Obese BMI - Dummy Variable,,Input,,categorical,active,kg/m8,0.014,0.6384,,,,,,,,,,,,,
HRUPoRT,Neutral ,BMIMissing_cat,Missing,Missing BMI - Dummy Variable,,Input,,categorical,active,kg/m9,NA,0.0959,,,,,,,,,,,,,
HRUPoRT,Neutral ,Smoke6_cat,Smoking Status,Type of smoker,,Input,HRUPoRT,categorical,supplementary,NA,NA,NA,,,,,,,,,,,,,
HRUPoRT,Neutral ,SmokeNon,Non-smoker,Non-smoker,,Reference,,categorical,supplementary,NA,0.529,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,SmokeCurrentH_cat,Heavy Smoker,Heavy Smoker - Dummy,,Input,,categorical,active,NA,0.035,0.4579,,,,,,,,,,,,,
HRUPoRT,Neutral ,SmokeCurrentL_cat,Light Smoker,Light Smoker - Dummy,,Input,,categorical,active,NA,0.178,0.2569,,,,,,,,,,,,,
HRUPoRT,Neutral ,SmokeFormerH_cat,Former Heavy Smoker,Former Heavy Smoker - Dummy,,Input,,categorical,active,NA,0.062,0.2926,,,,,,,,,,,,,
HRUPoRT,Neutral ,SmokeFormerL_cat,Former Light Smoker,Former Light Smoker - Dummy,,Input,,categorical,active,NA,0.161,0.1296,,,,,,,,,,,,,
HRUPoRT,Neutral ,SmokeMissing_cat,Missing Smoker Status ,Missing Smoker Status  - Dummy,,Input,,categorical,active,NA,NA,-0.0661,,,,,,,,,,,,,
HRUPoRT,Neutral ,PAQ5_cat,Physical Activity Quartile,Physical Activity Quartile,,Input,HRUPoRT,categorical,supplementary,METs/day,NA,NA,,,,,,,,,,,,,
HRUPoRT,Neutral ,PATop,Top 25%,Top 25%  Physical Activity Quartile,,Reference,,categorical,supplementary,METs/day,0.216,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,PAQ1_cat,Bottom 25%,Bottom 25%  Physical Activity Quartile - Dummy,,Input,,categorical,active,METs/day,0.251,0.1766,,,,,,,,,,,,,
HRUPoRT,Neutral ,PAQ2_cat,Bottom 26%-50%,Bottom 26%-50%  Physical Activity Quartile - Dummy,,Input,,categorical,active,METs/day,0.262,-0.011,,,,,,,,,,,,,
HRUPoRT,Neutral ,PAQ3_cat,Bottom 51%-75%,Bottom 51%-75%  Physical Activity Quartile - Dummy,,Input,,categorical,active,METs/day,0.249,0.0172,,,,,,,,,,,,,
HRUPoRT,Neutral ,PAQMissing_cat,Missing ,Missing  Physical Activity Quartile - Dummy,,Input,,categorical,active,METs/day,NA,0.349,,,,,,,,,,,,,
HRUPoRT,Neutral ,Alcohol5_cat,Alcohol Consumption,Alcohol Consumption,,Input,HRUPoRT,categorical,supplementary,NA,NA,NA,,,,,,,,,,,,,
HRUPoRT,Neutral ,drkLight,Light Drinker,Light Drinker,,Reference,,categorical,supplementary,NA,0.138,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,drkHeavy_cat,Heavy Drinker,Heavy Drinker - Dummy,,Input,,categorical,active,NA,0.084,-0.0105,,,,,,,,,,,,,
HRUPoRT,Neutral ,drkModerate_cat,Moderate Drinker,Moderate Drinker - Dummy,,Input,,categorical,active,NA,0.216,-0.0757,,,,,,,,,,,,,
HRUPoRT,Neutral ,drkNondrinker_cat,Non-Drinker,Non-Drinker - Dummy,,Input,,categorical,active,NA,0.548,0.042,,,,,,,,,,,,,
HRUPoRT,Neutral ,drkMissing_cat,Missing,Missing Alcohole Consumption - Dummy,,Input,,categorical,active,NA,NA,0.0619,,,,,,,,,,,,,
HRUPoRT,Neutral ,Ethnicity3_cat,Ethnicity,Ethnicity,,Input,HRUPoRT,categorical,supplementary,NA,NA,NA,,,,,,,,,,,,,
HRUPoRT,Neutral ,EthWhite,White,White,,Reference,,categorical,supplementary,NA,0.762,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,EthNonWhite_cat,Non-White,Non-White - Dummy,,Input,,categorical,active,NA,0.212,-0.2426,,,,,,,,,,,,,
HRUPoRT,Neutral ,EthMissing_cat,Missing,Missing Ethnicity - Dummy,,Input,,categorical,active,NA,NA,0.00983,,,,,,,,,,,,,
HRUPoRT,Neutral ,Immigrant4_cat,Immigrant Status,Immigrant Status,,Input,HRUPoRT,categorical,supplementary,Years,NA,NA,,,,,,,,,,,,,
HRUPoRT,Neutral ,ImCanadian,Canadian-born,Canadian-born ,,Reference,,categorical,supplementary,Years,0.672,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,ImUnder10_cat,Immigrant <10,Immigrant <10  -  Dummy,,Input,,categorical,active,Years,0.084,-0.2358,,,,,,,,,,,,,
HRUPoRT,Neutral ,ImOver10_cat,Immigrant >=10,Immigrant >=10 - Dummy,,Input,,categorical,active,Years,0.242,-0.0375,,,,,,,,,,,,,
HRUPoRT,Neutral ,ImMissing_cat,Missing,Missing - Dummy,,Input,,categorical,active,Years,NA,0.1781,,,,,,,,,,,,,
HRUPoRT,Neutral ,HouseIncome6_cat,Household Income,Household Income,,Input,HRUPoRT,categorical,supplementary,$,NA,NA,,,,,,,,,,,,,
HRUPoRT,Neutral ,IncQ5,Q5 - Highest,Highest Income Quartile ,,Reference,,categorical,supplementary,$,0.200,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,IncMissing_cat,Missing,Missing Income - Dummy,,Input,,categorical,active,$,NA,0.3841,,,,,,,,,,,,,
HRUPoRT,Neutral ,IncQ1_cat,Q1 - Lowest,Lowest Income Quartile - Dummy,,Input,,categorical,active,$,0.156,0.5256,,,,,,,,,,,,,
HRUPoRT,Neutral ,IncQ2_cat,Q2,Q2 Household Income - Dummy,,Input,,categorical,active,$,0.159,0.4035,,,,,,,,,,,,,
HRUPoRT,Neutral ,IncQ3_cat,Q3,Q3 Household Income - Dummy,,Input,,categorical,active,$,0.169,0.2,,,,,,,,,,,,,
HRUPoRT,Neutral ,IncQ4_cat,Q4,Q4 Household Income - Dummy,,Input,,categorical,active,$,0.189,0.2267,,,,,,,,,,,,,
HRUPoRT,Neutral ,FoodSecurity3_cat,Food Security,Food Security,,Input,HRUPoRT,categorical,supplementary,NA,NA,NA,,,,,,,,,,,,,
HRUPoRT,Neutral ,FinSecure,Food Insecure,Food Insecure,,Reference,,categorical,supplementary,NA,0.053,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,FSecure_cat,Food Secure,Food Secure - Dummy,,Input,,categorical,active,NA,0.931,-0.2661,,,,,,,,,,,,,
HRUPoRT,Neutral ,FMissing_cat,Missing,Missing Food Security - Dummy,,Input,,categorical,active,NA,NA,-0.7921,,,,,,,,,,,,,
HRUPoRT,Neutral ,ChronicCond_cat,Diseases/Conditions,Has a Chronic Condition ,,Input,HRUPoRT,categorical,active,NA,0.563,0.3617,,,,,,,,,,,,,
HRUPoRT,Neutral ,NoChronicCond,No Diseases/Conditions,Does not have a Chronic Condition,,Reference,,categorical,supplementary,NA,0.434,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,Health4_cat,Self-Rated Health,Self-Rated General Health,,Input,HRUPoRT,categorical,supplementary,NA,NA,NA,,,,,,,,,,,,,
HRUPoRT,Neutral ,HealthExcel,Excellent health,Excellent/Very/Good Health,,Reference,,categorical,supplementary,NA,0.891,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,HealthMissing_cat,Missing,Missing Self-Rated Health - Dummy,,Input,,categorical,active,NA,NA,0.147,,,,,,,,,,,,,
HRUPoRT,Neutral ,HealthFair_cat,Fair Health,Fair Self-Rated Health - Dummy,,Input,,categorical,active,NA,0.081,0.408,,,,,,,,,,,,,
HRUPoRT,Neutral ,HealthPoor_cat,Poor Health,Poor Self-Rated Health - Dummy,,Input,,categorical,active,NA,0.028,1.0628,,,,,,,,,,,,,
HRUPoRT,Neutral ,SexMale_cat,Male,Male,,Input,HRUPoRT,categorical,active,NA,0.489,0.2425,,,,,,,,,,,,,
HRUPoRT,Neutral ,SexFemale,Female,Female - Dummy,,Reference,,categorical,supplementary,NA,NA,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,Age7_cat,Age,Age,,Input,HRUPoRT,categorical,supplementary,NA,NA,NA,,,,18,120,,,,,,,,
HRUPoRT,Neutral ,AgeLess30,<30,Age Group Less Than 30,,Reference,,categorical,supplementary,NA,0.216,REF,,,,,,,,,,,,,
HRUPoRT,Neutral ,Age3039_cat,30-39,Age group 30-39 - Dummy,,Input,,categorical,active,NA,0.186,0.1202,,,,,,,,,,,,,
HRUPoRT,Neutral ,Age4049_cat,40-49,Age group 40-49 - Dummy,,Input,,categorical,active,NA,0.221,0.9213,,,,,,,,,,,,,
HRUPoRT,Neutral ,Age5059_cat,50-59,Age group 50-59 - Dummy,,Input,,categorical,active,NA,0.169,1.6306,,,,,,,,,,,,,
HRUPoRT,Neutral ,Age6069_cat,60-69,Age group 60-69 - Dummy,,Input,,categorical,active,NA,0.113,2.3558,,,,,,,,,,,,,
HRUPoRT,Neutral ,Age7079_cat,70-79,Age group 70-79 - Dummy,,Input,,categorical,active,NA,0.067,2.8083,,,,,,,,,,,,,
HRUPoRT,Neutral ,AgeGrt80_cat,>=80,Age group 80 and Higher - Dummy,,Input,,categorical,active,NA,0.029,3.6188,,,,,,,,,,,,,
PREDICT-1 CVD,Female,Age_cont,Age,Age,,Input,PREDICT-1 CVD,continuous,active,Years,0.5613665,0.0756412,,,,18,100,,,,,,,,
PREDICT-1 CVD,Male,Age_cont,Age,Age,,Input,PREDICT-1 CVD,continuous,active,Years,0.5179953,0.0675532,,,,18,100,,,,,,,,
PREDICT-1 CVD,Female,Ethn5_cat,Ethnicity,Ethnicity,,Input,PREDICT-1 CVD,categorical,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,Ethn5_cat,Ethnicity,Ethnicity,,Input,PREDICT-1 CVD,categorical,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,EthnEuro,European,European,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,EthnEuro,European,European,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,EthnMaori_cat,Maori,Maori - Dummy,,Input,,categorical,active,NA,NA,0.3910183,,,,,,,,,,,,,
PREDICT-1 CVD,Male,EthnMaori_cat,Maori,Maori - Dummy,,Input,,categorical,active,NA,NA,0.2899054,,,,,,,,,,,,,
PREDICT-1 CVD,Female,EthnPAC_cat,Pacific,Pacific - Dummy,,Input,,categorical,active,NA,NA,0.2010224,,,,,,,,,,,,,
PREDICT-1 CVD,Male,EthnPAC_cat,Pacific,Pacific - Dummy,,Input,,categorical,active,NA,NA,0.1774195,,,,,,,,,,,,,
PREDICT-1 CVD,Female,EthnInd_cat,Indian,Indian - Dummy,,Input,,categorical,active,NA,NA,0.1183427,,,,,,,,,,,,,
PREDICT-1 CVD,Male,EthnInd_cat,Indian,Indian - Dummy,,Input,,categorical,active,NA,NA,0.2902049,,,,,,,,,,,,,
PREDICT-1 CVD,Female,EthnAsian_cat,Asian,Chinese/other Asian - Dummy,,Input,,categorical,active,NA,NA,-0.28551,,,,,,,,,,,,,
PREDICT-1 CVD,Male,EthnAsian_cat,Asian,Chinese/other Asian - Dummy,,Input,,categorical,active,NA,NA,-0.3975687,,,,,,,,,,,,,
PREDICT-1 CVD,Female,NZDep_cont,Soc.Dep.sco,Social Deprivation Score,,Input,PREDICT-1 CVD,continuous,active,NA,0.02990826,0.1080795,,,,,,,,,,,,,
PREDICT-1 CVD,Male,NZDep_cont,Soc.Dep.sco,Social Deprivation Score,,Input,PREDICT-1 CVD,continuous,active,NA,0.02972793,0.0794903,,,,,,,,,,,,,
PREDICT-1 CVD,Female,NZDepQ1_cont,DepQ1 ,Social Deprivation Quintile 1 (least deprived),,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,NZDepQ1_cont,DepQ1 ,Social Deprivation Quintile 1 (least deprived),,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,NZDepQ2_cont,DepQ2,Social Deprivation Quintile 2,,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,NZDepQ2_cont,DepQ2,Social Deprivation Quintile 2,,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,NZDepQ3_cont,DepQ3,Social Deprivation Quintile 3,,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,NZDepQ3_cont,DepQ3,Social Deprivation Quintile 3,,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,NZDepQ4_cont,DepQ4,Social Deprivation Quintile 4,,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,NZDepQ4_cont,DepQ4,Social Deprivation Quintile 4,,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,NZDepQ5_cont,DepQ5,Social Deprivation Quintile 5 (most deprived),,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,NZDepQ5_cont,DepQ5,Social Deprivation Quintile 5 (most deprived),,Input,,continuous,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,SmokeStat_cat,Smoking Status,Smoking Status,,Input,PREDICT-1 CVD,categorical,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,SmokeStat_cat,Smoking Status,Smoking Status,,Input,PREDICT-1 CVD,categorical,active,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,SmkNon,Non-Smoker,Non-Smoker,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,SmkNon,Non-Smoker,Non-Smoker,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,SmkEX_cat,Ex-Smoker,Ex-Smoker - Dummy,,Input,,categorical,active,NA,NA,0.087476,,,,,,,,,,,,,
PREDICT-1 CVD,Male,SmkEX_cat,Ex-Smoker,Ex-Smoker - Dummy,,Input,,categorical,active,NA,NA,0.0753246,,,,,,,,,,,,,
PREDICT-1 CVD,Female,smkCurrent_cat,Current Smoker,Current Smoker - Dummy,,Input,,categorical,active,NA,NA,0.6226384,,,,,,,,,,,,,
PREDICT-1 CVD,Male,smkCurrent_cat,Current Smoker,Current Smoker - Dummy,,Input,,categorical,active,NA,NA,0.5058041,,,,,,,,,,,,,
PREDICT-1 CVD,Female,FamHistCVD_cat,Yes CVD.hist,Family History of Premature CVD,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.0445534,,,,,,,,,,,,,
PREDICT-1 CVD,Male,FamHistCVD_cat,Yes CVD.hist,Family History of Premature CVD,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.1326587,,,,,,,,,,,,,
PREDICT-1 CVD,Female,FamHistCVDNO_cat,No CVD.hist,No family History of Premature CVD ,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,FamHistCVDNO_cat,No CVD.hist,No family History of Premature CVD ,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,HistAFib_cat,Yes AFib.hist,History of Atrial Fibrillation,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.8927126,,,,,,,,,,,,,
PREDICT-1 CVD,Male,HistAFib_cat,Yes AFib.hist,History of Atrial Fibrillation,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.5880131,,,,,,,,,,,,,
PREDICT-1 CVD,Female,HistAFibNO_cat,No AFib.hist,No History of Atrial Fibrillation,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,HistAFibNO_cat,No AFib.hist,No History of Atrial Fibrillation,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Female,Diabetes_cat,Yes Diabetes,Does have Diabetes,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.5447632,,,,,,,,,,,,,
PREDICT-1 CVD,Male,Diabetes_cat,Yes Diabetes,Does have Diabetes,,Input,PREDICT-1 CVD,categorical,active,NA,NA,0.5597023,,,,,,,,,,,,,
PREDICT-1 CVD,Female,DiabetesN_cat,No Diabetes,Does not have Diabetes,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
PREDICT-1 CVD,Male,DiabetesN_cat,No Diabetes,Does not have Diabetes,,Reference,,categorical,supplementary,NA,NA,,,,,,,,,,,,,,
